MR,Ref
"name[The Wrestlers], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], food[English], pricerange[less than £20], familyfriendly[no], period[.]","The Wrestlers' is a coffee shop located on the riverside, near 'Raja Indian Cuisine'. They serve English food and a price range of less than £20, and are not family-friendly."
"near[Raja Indian Cuisine], name[The Wrestlers], pricerange[less than £20], eattype[coffee shop], familyfriendly[no], period[.]","Nearby the city centre and Raja Indian Cuisine, The Wrestlers is a cheap coffee shop that is not family friendly."
"name[The Wrestlers], pricerange[less than £20], familyfriendly[no], eattype[coffee shop], near[Raja Indian Cuisine], period[.]","The Wrestlers is a low priced, non family coffee shop located next to Raja Indian Cuisine."
"familyfriendly[no], pricerange[less than £20], eattype[coffee shop], name[The Wrestlers], food[English], area[riverside], near[Raja Indian Cuisine], period[.]",there is a adults only  cheap coffee shop The Wrestlers serving English food located in the riverside area near Raja Indian Cuisine
"pricerange[less than £20], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], name[The Wrestlers], period[.], familyfriendly[no], period[.]",A cheap English coffee shop in the riverside area near Raja Indian Cuisine is called The Wrestlers. It isn't family-friendly.
"pricerange[less than £20], eattype[coffee shop], name[The Wrestlers], food[English], area[riverside], near[Raja Indian Cuisine], familyfriendly[no], period[.]",there is a cheap coffee shop The Wrestlers serving English food located in the riverside area near Raja Indian Cuisine  adults only
"near[Raja Indian Cuisine], familyfriendly[no], pricerange[less than £20], eattype[coffee shop], name[The Wrestlers], period[.]","Located next to Raja Indian Cuisine, is a non family low priced coffee shop called The Wrestlers."
"name[The Wrestlers], pricerange[less than £20], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], familyfriendly[no], period[.]",The Wrestlers is a cheap English coffee shop in the riverside area near Raja Indian Cuisine. It isn't family-friendly.
"eattype[coffee shop], name[The Wrestlers], area[riverside], near[Raja Indian Cuisine], period[.], food[English], pricerange[less than £20], familyfriendly[no], period[.]","The coffee shop 'The Wrestlers' is located on the riverside, near 'Raja Indian Cuisine'. They serve English food and a price range of less than £20, and are not family-friendly."
"near[Raja Indian Cuisine], area[riverside], food[English], eattype[coffee shop], name[The Wrestlers], period[.], familyfriendly[yes], period[.]",Near Raja Indian Cuisine by riverside there is an English coffee shop called The Wrestlers. It has prices lower than £20 and is family friendly.
"name[The Wrestlers], pricerange[less than £20], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], period[.]","The Wrestlers, a low price family friendly breakfast and coffee shop near Raja Indian Cuisine."
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], period[.], food[English], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a family friendly coffee shop with prices less that £20. This English coffee shop is located by riverside near Raja Indian Cuisine.
"name[The Wrestlers], pricerange[less than £20], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], period[.]",The Wrestlers is a low-priced family coffee shop located near Raja Indian Cuisine in City Centre
"name[The Wrestlers], pricerange[less than £20], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], period[.]","Visit The Wrestlers, a low priced family friendly breakfast and coffee shop located near Raja Indian Cuisine."
"pricerange[less than £20], familyfriendly[yes], eattype[coffee shop], food[English], near[Raja Indian Cuisine], area[riverside], name[The Wrestlers], period[.]",There is an inexpensive and family friendly coffee shop serving English fare near Raja Indian Cuisine in riverside called The Wrestlers.
"name[The Wrestlers], eattype[coffee shop], familyfriendly[yes], pricerange[less than £20], period[.], food[English], near[Raja Indian Cuisine], area[riverside], period[.]",The Wrestlers coffee shop offers a family friendly environment with a price range of less than £20. We offer English food near Raja Indian Cuisine in the riverside area.
"familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], name[The Wrestlers], pricerange[less than £20], period[.]",There is a family friendly coffee shop located near Raja Indian Cuisine in the city centre called The Wrestlers which offers cheap food.
"name[The Wrestlers], area[riverside], period[.], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], food[English], period[.]",For under £20 you can eat at The Wrestlers in riverside.  It's a family friendly coffee shop near Raja Indian Cuisine that serves English cuisine.
"area[riverside], near[Raja Indian Cuisine], eattype[coffee shop], name[The Wrestlers], period[.], familyfriendly[yes], food[English], pricerange[less than £20], period[.]","Come to the riverside area near Raja Indian Cuisine and enjoy our coffee shop here at The Wrestlers. We are family friendly, feature English food and have a price range of less than £20."
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], pricerange[less than £20], period[.]",The Wrestlers is a family friendly coffee shop located near Raja Indian Cuisine in the city centre which offers cheap food.
"name[The Wrestlers], pricerange[moderate], eattype[coffee shop], near[Raja Indian Cuisine], area[city centre], period[.], familyfriendly[no], period[.]",The Wrestlers is a moderately priced  coffee shop near Raja Indian Cuisine in the city centre.  It is not the type of place people bring their kids.
"eattype[coffee shop], food[English], area[city centre], near[Raja Indian Cuisine], name[The Wrestlers], pricerange[moderate], familyfriendly[no], period[.]",A coffee shop which serve English food in the city centre near the Raja Indian Cuisine is a restaurant called The Wrestlers with a moderate price range and not kids friendly place.
"eattype[coffee shop], name[The Wrestlers], area[city centre], period[.], near[Raja Indian Cuisine], pricerange[moderate], familyfriendly[no], period[.]","There is a coffee shop named The Wrestlers in the city centre. It is near Raja Indian Cuisine, moderately priced and caters to an adult crowd."
"name[The Wrestlers], familyfriendly[no], eattype[coffee shop], pricerange[moderate], food[English], period[.], near[Raja Indian Cuisine], area[city centre], period[.]","The Wrestlers is a non kids friendly coffee shop, that has moderate price ranged English food. It is located near Raja Indian Cuisine in the city center."
"name[The Wrestlers], eattype[coffee shop], food[English], period[.], near[Raja Indian Cuisine], area[city centre], familyfriendly[no], pricerange[moderate], period[.]",The Wrestlers is a coffee shop which serve English food. The location is near the Raja Indian Cuisine in the city centre area. The place is a not kids friendly with a moderate price range.
"area[city centre], near[Raja Indian Cuisine], familyfriendly[no], eattype[coffee shop], name[The Wrestlers], period[.], pricerange[moderate], food[English], period[.]","In the city center near Raja Indian Cuisine, there is a non kids friendly coffee shop named, The Wrestlers. The price range is moderate and they have English food."
"pricerange[moderate], food[English], name[The Wrestlers], familyfriendly[yes], near[Raja Indian Cuisine], area[city centre], period[.]",There is a moderately priced English food restaurant called The Wrestlers that is kid friendly near Raja Indian Cuisine in the city centre.
"name[The Wrestlers], eattype[coffee shop], pricerange[moderate], food[English], familyfriendly[yes], near[Raja Indian Cuisine], area[city centre], period[.]",The Wrestlers is a coffee shop with moderate price featuring English food and is Kid Friendly and is located near Raja Indian Cuisine in the city centre.
"area[city centre], near[Raja Indian Cuisine], food[English], eattype[coffee shop], name[The Wrestlers], period[.], pricerange[moderate], familyfriendly[yes], period[.]","In the city centre, near Raja Indian Cuisine, there is an English coffee shop named The Wrestlers. It is in the moderate price range and it is child-friendly."
"name[The Wrestlers], familyfriendly[yes], pricerange[moderate], food[English], eattype[coffee shop], period[.], area[city centre], near[Raja Indian Cuisine], period[.]","The Wrestlers is a child-friendly, moderately-priced English coffee shop. It is located in the centre of the city, near Raja Indian Cuisine."
"name[The Wrestlers], period[.], eattype[coffee shop], pricerange[moderate], food[English], familyfriendly[yes], area[city centre], near[Raja Indian Cuisine], period[.]","Welcome to The Wrestlers. We are a coffee shop, our price range is moderate, our food is English we're kid friendly located in the city centre by the Raja Indian Cuisine. We have a disclaimer by the door, we wrestle and any blood stains we do not cover."
"name[The Wrestlers], period[.], eattype[coffee shop], pricerange[moderate], food[English], familyfriendly[yes], area[city centre], near[Raja Indian Cuisine], period[.]","Welcome to The Wrestlers. We are a coffee shop, our price range is moderate, our food is English we're kid friendly located in the city centre by the Raja Indian Cuisine. We have a disclaimer by the door, we wrestle and any blood stains we do not cover."
"name[The Wrestlers], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], food[English], pricerange[moderate], familyfriendly[no], period[.]",The Wrestlers is a coffee shop located in riverside near Raja Indian Cuisine.  It offers English food with a moderate price range.  It is not a kid friendly establishment.
"name[The Wrestlers], eattype[coffee shop], pricerange[moderate], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers coffee shop has moderately priced food and is a kid friendly establishment in the riverside area close to Raja Indian Cuisine.
